date,time,kind,minutes,jumps,details,place
2025-09-15,,прыжки,,4,"X3M №275–278 · 3900 · борт Ми-8 Иволга, Л-410 94594, Л-410 94592",Аэроград Коломна
2026-05-16,,прыжки,,2,X3M №279–280 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-05-17,,прыжки,,6,"X3M №281–286 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Discovery RA-3144 G, Confederation RA-28740, ТурбоФинист RA-0721G",DZK
2026-05-22,,прыжки,,2,X3M №287–288 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт ТурбоФинист RA-0721G,DZK
2026-05-23,,прыжки,,3,X3M №289–291 · 1 Слот/1 Slot 3 500 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-05-24,,прыжки,,2,X3M №292–293 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-05-30,,прыжки,,3,X3M №294–296 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-05-31,,прыжки,,7,"X3M №297–303 · Пакет 10 слотов/10 slots -10% нал 31 500 · FF · Пакет 10 слотов/10 slots -10% нал 31 500 @goose · борт Confederation RA-28740, Voyager 28902",DZK
2026-06-13,,прыжки,,9,"X3M №304–312 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740, Discovery RA-3144 G",DZK
2026-06-14,,прыжки,,4,"X3M №313–316 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Discovery RA-3144 G, Confederation RA-28740",DZK
2026-06-19,,прыжки,,4,"X3M №317–320 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740, ТурбоФинист RA-0721G",DZK
2026-06-20,,прыжки,,6,X3M №321–326 · 1 Слот/1 Slot 3 500 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-06-21,,прыжки,,7,X3M №327–333 · Пакет 10 слотов/10 slots -10% нал 31 500 · борт Confederation RA-28740,DZK
2026-07-03,,прыжки,,5,"X3M №334–338 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Confederation RA-28740, STARTREK",DZK
2026-07-04,,прыжки,,2,X3M №339–340 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Confederation RA-28740,DZK
2026-07-06,22:30,труба,30,,"из календаря: Flow x2, 2 заходов",Flow Moscow
2026-07-09,19:00,труба,30,,"из календаря: Flow x2, 2 заходов",Flow Moscow
2026-07-11,20:00,труба,45,,"из календаря: Flow x3, 3 заходов",Flow Moscow
2026-07-17,,прыжки,,2,"X3M №341–342 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Discovery RA-3144 G, STARTREK",DZK
2026-07-18,,прыжки,,6,"X3M №343–348 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Discovery RA-3144 G, Confederation RA-28740, ТурбоФинист RA-0721G",DZK
2026-07-19,,прыжки,,7,X3M №349–355 · Пакет 10 слотов/10 slots 35 000 р (cash) · 1 Слот/1 Slot 3 800 · борт Confederation RA-28740,DZK
2026-07-20,,прыжки,,6,"X3M №356–361 · 3 Hop&pop 3 300 · борт Discovery RA-3144 G, ТурбоФинист RA-0721G",DZK
2026-07-21,,прыжки,,6,"X3M №362–367 · Пакет 10 слотов/10 slots 35 000 р (cash) · 3 Hop&pop 3 300 · борт Discovery RA-3144 G, ТурбоФинист RA-0721G",DZK
2026-07-29,21:00,труба,45,,"из календаря: Flow x3 (30), 3 заходов",Flow Moscow
2026-07-31,,прыжки,,1,X3M №368 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Confederation RA-28740,DZK
2026-08-01,,прыжки,,7,"X3M №369–375 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Confederation RA-28740, ТурбоФинист RA-0721G",DZK
2026-08-02,,прыжки,,7,X3M №376–382 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Confederation RA-28740,DZK
2026-08-06,22:30,труба,30,,"из календаря: Flow x2, 2 заходов",Flow Moscow
2026-08-15,,прыжки,,1,X3M №383 · Пакет 10 слотов/10 slots 35 000 р (cash) · борт Discovery RA-3144 G,DZK
2026-08-16,,прыжки,,4,"X3M №384–387 · Пакет 10 слотов/10 slots 35 000 р (cash) · 1 Слот/1 Slot 3 800 · борт Discovery RA-3144 G, ТурбоФинист RA-0721G",DZK
2026-08-28,,прыжки,,3,"X3M: ещё 3 к записанным, №388–391 · Пакет 10 слотов/10 slots 35 000 р (cash) · 3 Hop&pop 3 300",DZK
2026-08-28,16:55,прыжки,,1,"Углы, с GooseTribe",DZK
2026-08-29,16:55,прыжки,,7,"Углы, с GooseTribe",DZK
2026-08-30,16:55,прыжки,,6,"Углы, с GooseTribe",DZK
2026-08-31,16:55,прыжки,,6,"Купольное пилотирование с Залужным Владимиром, заход с разворотом 90°, крайний взлёт дня — уже с разворотом 270°. Парашют Rave 100 sqft",DZK
2026-09-01,16:55,прыжки,,5,"Купольное пилотирование с Залужным Владимиром, заход с разворотом 270° весь день. Парашют Rave 100 sqft",DZK
2026-09-03,11:26,прыжки,,2,"пилотирование, разворот 270 на H&P; на втором прыжке вылетел слайдер, нашли",DZK
2026-09-03,19:36,прыжки,,4,"head up, приземление с разворотом 90",DZK
2026-09-04,13:56,прыжки,,2,"на углы, с инструктором Боровиком, заход на приземление с разворотом 90 градусов",дропзона
2026-09-04,13:56,прыжки,,2,"на углы, с инструктором Боровиком, заход на приземление с разворотом 90 градусов",дропзона
