date,account,amount,rate_rub
2024-09-20,cash-usd,6300,89.1
2024-09-20,ff,57037,
2024-09-20,mts,2.9855e+06,
2024-09-20,raif,0,
2024-09-20,t-bank-debit,49037,
2024-09-20,t-bank-kreditka,-31558,
2024-09-20,t-bank-nakopitelnyi,0,
2024-09-20,tinkoff-broker,8.8307e+06,
2024-10-30,alfa,6.23983e+06,
2024-10-30,cash-rub,530000,
2024-10-30,cash-usd,6300,89.1
2024-10-30,ff,57037,
2024-10-30,mts,2.75695e+06,
2024-10-30,raif,0,
2024-10-30,t-bank-debit,49037,
2024-10-30,t-bank-kreditka,-20893,
2024-10-30,t-bank-nakopitelnyi,0,
2024-10-30,tinkoff-broker,9.45244e+06,
2024-11-09,alfa,6.28715e+06,
2024-11-09,cash-rub,1.05e+06,
2024-11-09,cash-usd,6300,89.1
2024-11-09,ff,57037,
2024-11-09,mts,2.49814e+06,
2024-11-09,raif,0,
2024-11-09,t-bank-debit,230610,
2024-11-09,t-bank-kreditka,118,
2024-11-09,t-bank-nakopitelnyi,0,
2024-11-09,tinkoff-broker,9.55553e+06,
2025-01-15,alfa,6.43057e+06,
2025-01-15,cash-rub,1.5e+06,
2025-01-15,cash-usd,6300,103.44
2025-01-15,ff,57037,
2025-01-15,mts,2.1413e+06,
2025-01-15,raif,0,
2025-01-15,t-bank-debit,95108,
2025-01-15,t-bank-kreditka,0,
2025-01-15,t-bank-nakopitelnyi,0,
2025-01-15,tinkoff-broker,1.00693e+07,
2025-02-18,alfa,6.43057e+06,
2025-02-18,cash-rub,1.5e+06,
2025-02-18,cash-usd,6300,91
2025-02-18,ff,57037,
2025-02-18,mts,2.1413e+06,
2025-02-18,raif,0,
2025-02-18,t-bank-debit,95108,
2025-02-18,t-bank-kreditka,0,
2025-02-18,t-bank-nakopitelnyi,0,
2025-02-18,tinkoff-broker,1.07693e+07,
2025-03-08,alfa,6.7585e+06,
2025-03-08,cash-rub,1.94e+06,
2025-03-08,cash-usd,6300,89.13
2025-03-08,ff,57037,
2025-03-08,mts,2.16054e+06,
2025-03-08,raif,0,
2025-03-08,t-bank-debit,157436,
2025-03-08,t-bank-kreditka,-32796,
2025-03-08,t-bank-nakopitelnyi,0,
2025-03-08,tinkoff-broker,1.04388e+07,
2025-05-17,alfa,6.60366e+06,
2025-05-17,cash-rub,1.92e+06,
2025-05-17,cash-usd,6300,80.76
2025-05-17,ff,57037,
2025-05-17,mts,2.08516e+06,
2025-05-17,raif,0,
2025-05-17,t-bank-debit,1542,
2025-05-17,t-bank-kreditka,0,
2025-05-17,t-bank-nakopitelnyi,0,
2025-05-17,tinkoff-broker,9.24298e+06,
2025-07-03,alfa,7.04367e+06,
2025-07-03,cash-usd,6300,78.65
2025-07-03,ff,57037,
2025-07-03,mts,2.12462e+06,
2025-07-03,raif,0,
2025-07-03,t-bank-debit,65243,
2025-07-03,t-bank-kreditka,0,
2025-07-03,t-bank-nakopitelnyi,0,
2025-07-03,tinkoff-broker,9.46026e+06,
2025-07-23,alfa,6.89535e+06,
2025-07-23,cash-rub,2e+06,
2025-07-23,cash-usd,6300,78.09
2025-07-23,ff,57037,
2025-07-23,mts,2.15695e+06,
2025-07-23,raif,0,
2025-07-23,t-bank-debit,63502,
2025-07-23,t-bank-kreditka,0,
2025-07-23,t-bank-nakopitelnyi,0,
2025-07-23,tinkoff-broker,1.00275e+07,
2025-12-16,alfa,6.83735e+06,
2025-12-16,cash-rub,2.5e+06,
2025-12-16,cash-usd,0,80.7
2025-12-16,ff,57037,
2025-12-16,mts,2.29412e+06,
2025-12-16,raif,0,
2025-12-16,t-bank-debit,43502,
2025-12-16,t-bank-kreditka,0,
2025-12-16,t-bank-nakopitelnyi,0,
2025-12-16,tinkoff-broker,1.03879e+07,
2026-06-18,alfa,7.07018e+06,
2026-06-18,cash-rub,2.5e+06,
2026-06-18,cash-usd,2000,75.4
2026-06-18,ff,36000,
2026-06-18,mts,2.4417e+06,
2026-06-18,raif,0,
2026-06-18,t-bank-debit,6000,
2026-06-18,t-bank-kreditka,0,
2026-06-18,t-bank-nakopitelnyi,0,
2026-06-18,tinkoff-broker,9.55484e+06,
2026-08-04,alfa,7.47018e+06,
2026-08-04,cash-rub,1.8e+06,
2026-08-04,cash-usd,2000,80.07
2026-08-04,ff,36000,
2026-08-04,mts,2.4517e+06,
2026-08-04,raif,0,
2026-08-04,t-bank-debit,6500,
2026-08-04,t-bank-kreditka,0,
2026-08-04,t-bank-nakopitelnyi,0,
2026-08-04,tinkoff-broker,1.02189e+07,
